Date,Open,High,Low,Close,Adj Close,Volume
2020-01-31,208.500000,209.630005,204.000000,205.210007,202.058121,1793600
2020-02-03,205.339996,208.419998,205.250000,207.800003,204.608337,2345700
2020-02-04,210.000000,213.789993,209.750000,212.529999,209.265686,2242800
2020-02-05,213.889999,214.460007,210.410004,212.220001,208.960449,2102500
2020-02-06,213.000000,214.380005,212.309998,214.160004,210.870636,1611500
2020-02-07,213.339996,213.389999,211.089996,211.580002,208.330261,1447700
2020-02-10,210.190002,212.970001,210.190002,212.550003,209.285385,1421600
2020-02-11,213.380005,213.979996,211.759995,212.139999,208.881668,1321000
2020-02-12,212.199997,212.869995,211.539993,211.990005,208.733978,1801300
2020-02-13,209.869995,213.539993,209.339996,212.399994,209.137680,1721200
2020-02-14,213.250000,213.539993,211.350006,212.369995,209.108139,2096600
2020-02-18,212.500000,214.059998,211.199997,213.759995,210.476791,1699400
2020-02-19,215.000000,216.389999,214.380005,215.919998,212.603607,1806000
2020-02-20,215.880005,216.320007,211.610001,213.899994,210.614624,1481700
2020-02-21,212.589996,213.550003,210.490005,211.889999,208.635513,2088800
2020-02-24,204.470001,207.869995,203.449997,204.360001,201.221161,2600400
2020-02-25,204.779999,205.479996,195.860001,197.100006,194.072678,2883600
2020-02-26,198.669998,201.449997,194.789993,195.669998,192.664658,2671100
2020-02-27,192.199997,194.350006,186.369995,186.440002,183.576401,3040100
2020-02-28,180.259995,183.199997,175.300003,180.589996,177.816254,5785200
2020-03-02,182.000000,189.820007,178.020004,189.550003,186.638626,4317900
2020-03-03,189.770004,191.899994,180.619995,182.220001,179.421219,3514000
2020-03-04,185.800003,189.710007,184.300003,188.860001,185.959244,3875400
2020-03-05,185.089996,187.460007,180.919998,182.559998,179.756012,3548200
2020-03-06,177.449997,180.309998,173.919998,178.750000,176.004517,3284400
2020-03-09,165.399994,170.880005,160.100006,164.110001,161.589371,5112200
2020-03-10,171.080002,174.740005,166.039993,174.559998,171.878876,4349500
2020-03-11,169.320007,171.169998,162.649994,165.110001,162.574020,5188300
2020-03-12,153.000000,158.750000,147.080002,152.529999,150.187241,6357900
2020-03-13,160.619995,166.710007,152.929993,166.509995,163.952515,5742800
2020-03-16,148.289993,166.509995,143.509995,152.539993,150.197067,5324900
2020-03-17,154.000000,160.660004,152.479996,157.710007,155.287689,6081100
2020-03-18,151.570007,159.800003,142.000000,151.149994,148.828445,5860200
2020-03-19,151.360001,177.800003,151.360001,158.500000,156.065536,6338300
2020-03-20,157.529999,159.470001,147.419998,149.940002,147.637039,6449700
2020-03-23,148.009995,148.009995,137.149994,143.690002,141.483017,6173700
2020-03-24,152.259995,157.630005,149.490005,156.850006,154.440903,4685100
2020-03-25,156.440002,159.690002,148.110001,151.820007,149.488144,4795500
2020-03-26,153.399994,171.600006,150.000000,171.339996,168.708328,5194500
2020-03-27,165.000000,169.289993,160.610001,162.880005,160.378281,3802500
2020-03-30,164.119995,170.369995,163.779999,169.820007,167.211700,2731300
2020-03-31,167.429993,169.880005,162.160004,163.259995,160.752426,2963000
2020-04-01,158.570007,160.820007,152.580002,154.679993,152.304199,2973100
2020-04-02,154.050003,160.500000,153.550003,156.270004,153.869797,3030000
2020-04-03,155.600006,158.720001,148.279999,152.149994,149.813065,3766600
2020-04-06,158.979996,166.750000,157.039993,166.050003,163.499573,3090000
2020-04-07,171.080002,171.490005,163.929993,164.119995,161.599228,3002500
2020-04-08,166.580002,172.690002,165.070007,171.729996,169.092346,2466200
2020-04-09,173.229996,179.869995,172.509995,177.919998,175.187256,3743700
2020-04-13,176.179993,177.009995,169.559998,172.570007,169.919449,1918500
2020-04-14,177.000000,178.889999,176.020004,178.100006,175.364517,2875000
2020-04-15,174.300003,174.309998,168.889999,169.449997,167.600189,2504700
2020-04-16,171.259995,172.050003,167.520004,167.949997,166.116577,3051800
2020-04-17,172.520004,175.160004,172.050003,175.089996,173.178635,4759100
2020-04-20,172.589996,176.899994,171.759995,174.740005,172.832458,2511700
2020-04-21,170.820007,172.800003,165.710007,166.240005,164.425247,2711400
2020-04-22,170.039993,173.339996,169.210007,172.309998,170.428970,1921200
2020-04-23,173.360001,175.320007,172.139999,172.899994,171.012527,3027900
2020-04-24,176.399994,176.399994,172.570007,175.460007,173.544601,2121100
2020-04-27,176.229996,180.539993,176.199997,179.429993,177.471237,2457800
2020-04-28,182.080002,183.259995,176.910004,178.360001,176.412933,2160100
2020-04-29,182.309998,188.169998,181.699997,187.559998,185.512497,2957600
2020-04-30,185.529999,186.479996,184.190002,185.190002,183.168365,2740800
2020-05-01,181.710007,182.990005,179.259995,180.089996,178.124039,2064200
2020-05-04,177.979996,180.639999,176.880005,179.529999,177.570160,1710500
2020-05-05,182.080002,183.889999,181.000000,181.619995,179.637329,1621900
2020-05-06,182.100006,182.500000,179.050003,180.380005,178.410889,1474900
2020-05-07,182.990005,187.429993,182.500000,187.110001,185.067413,2295400
2020-05-08,188.990005,189.850006,187.679993,188.559998,186.501572,1779200
2020-05-11,186.490005,189.529999,185.289993,187.750000,185.700409,2013800
2020-05-12,187.839996,189.990005,185.690002,185.720001,183.692581,1912300
2020-05-13,185.039993,185.139999,178.750000,181.000000,179.024124,2349300
2020-05-14,178.699997,180.009995,174.940002,179.990005,178.025146,2773300
2020-05-15,178.369995,183.960007,177.830002,183.880005,181.872696,3630000
2020-05-18,189.000000,194.139999,188.110001,192.750000,190.645844,2254700
2020-05-19,192.500000,194.509995,189.919998,190.089996,188.014877,1784100
2020-05-20,192.500000,195.669998,192.229996,195.179993,193.049316,2294800
2020-05-21,194.699997,195.520004,192.699997,193.500000,191.387665,1373000
2020-05-22,194.080002,194.889999,191.130005,193.710007,191.595367,1317500
2020-05-26,199.419998,199.990005,196.029999,196.399994,194.255981,2408700
2020-05-27,198.380005,199.949997,196.210007,199.929993,197.747452,2000500
2020-05-28,200.009995,204.179993,200.009995,201.669998,199.468460,2280600
2020-05-29,201.490005,202.410004,198.690002,201.619995,199.419006,2535400
2020-06-01,201.539993,203.750000,199.869995,203.380005,201.159805,1530800
2020-06-02,204.089996,205.789993,202.339996,205.779999,203.533600,1939200
2020-06-03,204.419998,207.830002,204.309998,207.279999,205.017227,1605400
2020-06-04,206.089996,207.789993,202.330002,203.100006,200.882874,2451400
2020-06-05,205.990005,209.720001,204.789993,208.490005,206.214020,2537900
2020-06-08,207.509995,211.320007,207.000000,211.279999,208.973557,1626900
2020-06-09,209.389999,209.789993,205.500000,207.339996,205.076569,2269600
2020-06-10,207.259995,210.830002,205.899994,209.429993,207.143738,2077200
2020-06-11,205.520004,205.949997,195.880005,195.949997,193.810898,4046600
2020-06-12,201.100006,202.429993,197.309998,201.589996,199.389343,2590100
2020-06-15,196.490005,200.740005,194.830002,199.789993,197.608978,2310800
2020-06-16,203.360001,206.880005,202.119995,204.399994,202.168655,2154000
2020-06-17,206.029999,206.330002,203.649994,205.199997,202.959930,1594800
2020-06-18,201.729996,203.169998,199.289993,202.929993,200.714706,2228000
2020-06-19,207.539993,208.289993,201.520004,201.550003,199.349792,3710000
2020-06-22,200.800003,204.080002,199.470001,202.600006,200.388321,2454500
2020-06-23,205.369995,209.679993,205.369995,207.399994,205.135910,2203800
2020-06-24,205.509995,207.399994,200.500000,201.839996,199.636612,2753700
2020-06-25,213.000000,217.889999,211.500000,217.320007,214.947632,4690200
2020-06-26,216.779999,216.929993,211.070007,212.470001,210.150574,3348400
2020-06-29,210.149994,213.389999,210.149994,212.720001,210.397827,2247900
2020-06-30,212.369995,215.639999,212.130005,214.720001,212.376007,3136400
2020-07-01,214.500000,216.899994,213.880005,214.589996,212.247421,2124700
2020-07-02,216.570007,218.449997,214.899994,215.720001,213.365097,2006200
2020-07-06,217.759995,219.660004,216.309998,217.550003,215.175110,1934500
2020-07-07,216.320007,219.869995,216.119995,216.330002,213.968445,1783700
2020-07-08,217.470001,219.149994,216.339996,218.889999,216.500488,1750700
2020-07-09,218.470001,220.610001,216.229996,219.309998,216.915909,1756700
2020-07-10,219.000000,220.860001,217.669998,220.259995,217.855515,1373600
2020-07-13,221.330002,221.869995,215.229996,215.740005,213.384872,2090000
2020-07-14,214.800003,219.369995,213.509995,219.160004,216.767548,1747800
2020-07-15,220.000000,222.750000,218.460007,219.759995,218.157333,2193700
2020-07-16,219.779999,220.630005,218.600006,219.110001,217.512070,1408400
2020-07-17,219.690002,222.639999,218.300003,221.940002,220.321442,2069700
2020-07-20,222.000000,224.110001,220.110001,223.429993,221.800568,1371800
2020-07-21,224.899994,225.740005,222.440002,222.750000,221.125534,1546200
2020-07-22,222.750000,224.740005,222.440002,224.229996,222.594727,1488000
2020-07-23,224.080002,225.509995,221.369995,222.300003,220.678818,1444900
2020-07-24,220.210007,223.169998,220.210007,221.440002,219.825073,1542300
2020-07-27,221.500000,224.520004,220.830002,223.320007,221.691376,1523200
2020-07-28,223.039993,224.759995,221.899994,222.179993,220.559677,1422300
2020-07-29,221.979996,225.399994,221.929993,224.380005,222.743652,1473700
2020-07-30,220.809998,223.990005,219.779999,223.979996,222.346542,1408600
2020-07-31,223.889999,224.949997,220.899994,224.779999,223.140732,1495500
2020-08-03,225.000000,228.000000,224.460007,227.179993,225.523209,1631700
2020-08-04,226.289993,227.779999,225.550003,227.149994,225.493439,1260500
2020-08-05,227.940002,229.399994,227.460007,228.699997,227.032135,1155400
2020-08-06,227.679993,230.970001,227.679993,230.889999,229.206161,1317900
2020-08-07,229.250000,231.869995,228.720001,231.559998,229.871262,1275400
2020-08-10,229.690002,231.259995,229.520004,230.339996,228.660172,1315700
2020-08-11,230.580002,232.509995,228.160004,228.570007,226.903091,1757200
2020-08-12,230.300003,231.320007,229.250000,229.750000,228.074478,1512900
2020-08-13,229.589996,232.380005,228.929993,231.729996,230.040024,1745700
2020-08-14,230.570007,231.929993,229.410004,230.250000,228.570831,1130500
2020-08-17,231.449997,233.770004,230.979996,232.619995,230.923553,1395400
2020-08-18,233.350006,234.929993,232.580002,234.229996,232.521805,1475800
2020-08-19,233.800003,236.500000,233.800003,234.630005,232.918900,1671500
2020-08-20,233.940002,236.949997,233.580002,236.610001,234.884460,1279300
2020-08-21,236.860001,238.300003,235.000000,237.490005,235.758041,1976100
2020-08-24,238.059998,239.360001,235.850006,237.750000,236.016129,1293200
2020-08-25,237.929993,238.729996,236.710007,238.210007,236.472794,1501700
2020-08-26,238.669998,241.250000,238.110001,240.449997,238.696442,2322100
2020-08-27,242.369995,242.770004,240.000000,240.869995,239.113388,1295300
2020-08-28,241.970001,243.220001,240.259995,242.990005,241.217926,1212200
2020-08-31,243.300003,243.539993,239.100006,239.929993,238.180222,2001100
2020-09-01,238.490005,240.020004,237.199997,240.020004,238.269577,1914500
2020-09-02,241.899994,247.820007,240.839996,247.179993,245.377365,1702800
2020-09-03,245.100006,246.139999,237.130005,238.979996,237.237167,2350500
2020-09-04,240.169998,240.869995,231.910004,236.070007,234.348404,1946400
2020-09-08,231.050003,236.000000,230.619995,232.649994,230.953323,2361200
2020-09-09,236.800003,241.360001,234.809998,238.910004,237.167679,1670200
2020-09-10,241.000000,243.990005,232.110001,233.649994,231.946030,2024100
2020-09-11,236.429993,237.759995,233.250000,234.770004,233.057877,1301000
2020-09-14,237.600006,240.990005,236.809998,238.830002,237.088257,1576400
2020-09-15,240.369995,242.800003,239.000000,240.199997,238.448257,1297500
2020-09-16,241.460007,244.899994,239.169998,239.419998,237.673950,1800400
2020-09-17,237.399994,239.089996,233.880005,236.820007,235.092926,2002500
2020-09-18,234.619995,238.399994,233.429993,236.179993,234.457565,3676400
2020-09-21,232.839996,233.979996,230.029999,233.910004,232.204147,2305900
2020-09-22,234.139999,237.070007,231.789993,236.919998,235.192184,1786200
2020-09-23,238.529999,239.350006,230.369995,230.649994,228.967911,2688100
2020-09-24,218.869995,220.449997,213.149994,214.419998,212.856277,4828600
2020-09-25,213.029999,215.070007,210.419998,214.630005,213.064743,3691100
2020-09-28,219.089996,223.889999,218.300003,222.779999,221.155304,2587600
2020-09-29,223.369995,225.169998,222.309998,224.080002,222.445831,2572000
2020-09-30,225.270004,228.300003,224.619995,225.990005,224.341904,2250100
2020-10-01,227.360001,229.240005,224.029999,225.179993,223.537796,1928800
2020-10-02,222.050003,224.919998,221.350006,222.399994,220.778076,1936100
2020-10-05,224.369995,224.940002,222.039993,223.490005,221.860123,1446000
2020-10-06,223.589996,225.270004,220.089996,220.350006,218.743027,2286300
2020-10-07,221.899994,224.630005,220.050003,223.449997,221.820419,2005800
2020-10-08,226.039993,226.789993,223.970001,225.610001,223.964661,1394200
2020-10-09,225.860001,229.089996,225.800003,228.690002,227.911179,1312500
2020-10-12,229.690002,231.770004,227.580002,230.589996,229.804703,1524300
2020-10-13,230.720001,231.899994,228.809998,229.380005,228.598831,1634000
2020-10-14,228.880005,231.899994,228.320007,229.429993,228.648651,1443800
2020-10-15,225.589996,230.679993,225.259995,228.770004,227.990906,1273300
2020-10-16,229.029999,231.940002,228.679993,230.050003,229.266556,1796400
2020-10-19,230.229996,233.250000,225.720001,226.240005,225.469528,1904500
2020-10-20,226.699997,232.289993,226.449997,230.389999,229.605392,1783800
2020-10-21,229.899994,234.380005,229.059998,233.100006,232.306168,1701800
2020-10-22,233.100006,234.710007,227.850006,228.139999,227.363052,1661300
